Count,Priority,Market Type,State,Market,Label,% Homes Passed (pct availability),Market Share %,"Multi-Cultural (Hispanic, Asian, African American)",Gateway Index,Rethink,Intercept,Nudge,Win,Grow,Rethink-TV,Rethink-CTV,Rethink-Radio,Rethink-Sponsorships,Rethink-OOH/DOOH,Rethink-INFLUENCERS / SOCIAL AMPLIFICATION,Intercept-CTV,Intercept-Audio,Intercept-Search Non Brand,Intercept-Social,Intercept-DIGITAL AUDIO,Intercept-OOH / DOOH,Nudge-Search Brand,Nudge-Digital Video,Nudge-Social,Nudge-Digital Display,Win-Digital Video,Win-Digital Display,Win-Social,Win-Search Non Brand,Total
1,22,Top Tier,Alabama,Birmingham,DEFEND,81%,32%,33%,70.7,27%,18%,39%,16%,0%,"$219,853.18","$75,668.79","$23,858.53","$92,657.04",,,"$75,668.41","$30,966.28","$120,673.53","$45,165.78",,,"$357,234.44","$90,261.49","$63,232.10","$84,079.54","$28,026.51","$30,087.16","$72,265.22","$120,673.53","$1,530,371.55"
2,8,Top Tier,North Carolina,Charlotte,DEFEND,85%,46%,36%,100,27%,18%,39%,16%,0%,"$288,321.91","$99,234.27","$31,288.78","$121,513.16",,,"$99,233.77","$40,610.08","$158,254.81","$59,231.73",,,"$468,487.72","$118,371.57","$82,924.43","$110,264.38","$36,754.79","$39,457.19","$94,770.73","$158,254.81","$2,006,974.14"
3,24,Top Tier,Ohio,Dayton,DEFEND,96%,63%,18%,90.08,27%,18%,39%,16%,0%,"$170,536.66","$58,695.09","$18,506.69","$71,872.61",,,"$58,694.79","$24,020.05","$93,604.56","$35,034.39",,,"$277,101.14","$70,014.42","$49,048.14","$65,219.18","$21,739.73","$23,338.14","$56,055.00","$93,604.56","$1,187,085.17"
4,30,Top Tier,Texas,El Paso,DEFEND,97%,50%,85%,158.1,27%,18%,39%,16%,0%,"$199,732.24","$68,743.59","$21,675.00","$84,177.07",,,"$68,743.24","$28,132.24","$109,629.50","$41,032.22",,,"$324,540.38","$82,000.77","$57,445.10","$76,384.59","$25,461.53","$27,333.59","$65,651.51","$109,629.50","$1,390,312.09"
5,12,Top Tier,Wisconsin,Milwaukee,DEFEND,99%,61%,29%,93.23,27%,18%,39%,16%,0%,"$269,579.08","$92,783.38","$29,254.80","$113,614.00",,,"$92,782.91","$37,970.16","$147,967.20","$55,381.28",,,"$438,032.91","$110,676.63","$77,533.79","$103,096.47","$34,365.49","$36,892.21","$88,610.01","$147,967.20","$1,876,507.51"
6,7,Top Tier,North Carolina,Raleigh - Durham,DEFEND,97%,55%,43%,95.87,27%,18%,39%,16%,0%,"$325,453.70","$112,014.24","$35,318.33","$137,162.33",,,"$112,013.67","$45,840.09","$178,635.79","$66,859.94",,,"$528,822.31","$133,616.15","$93,603.92","$124,464.87","$41,488.29","$44,538.72","$106,975.86","$178,635.79","$2,265,444.02"
7,38,Mid Tier,California,Bakersfield,DEFEND,87%,57%,71%,78.63,27%,18%,39%,16%,0%,"$122,398.03","$42,126.80","$13,282.67","$51,584.60",,,"$42,126.58","$17,239.74","$67,182.12","$25,144.98",,,"$198,881.77","$50,250.94","$35,202.97","$46,809.29","$15,603.10","$16,750.31","$40,231.94","$67,182.12","$851,997.94"
8,72,Mid Tier,Kentucky,Bowling Green,DEFEND,100%,37%,17%,33.94,27%,18%,39%,16%,0%,"$97,924.37","$33,703.49","$10,626.78","$41,270.19",,,"$33,703.31","$13,792.63","$53,748.96","$20,117.20",,,"$159,115.08","$40,203.19","$28,164.08","$37,449.70","$12,483.23","$13,401.06","$32,187.51","$53,748.96","$681,639.76"
9,69,Mid Tier,Montana,Butte - Bozeman,DEFEND,92%,51%,6%,179.12,27%,18%,39%,16%,0%,"$77,470.25","$26,663.61","$8,407.09","$32,649.81",,,"$26,663.48","$10,911.67","$42,522.05","$15,915.19",,,"$125,879.65","$31,805.68","$22,281.26","$29,627.33","$9,875.78","$10,601.89","$25,464.29","$42,522.05","$539,261.09"
10,74,Mid Tier,Wyoming,Casper - Riverton,DEFEND,96%,55%,11%,519.33,27%,18%,39%,16%,0%,"$77,678.80","$26,735.39","$8,429.73","$32,737.70",,,"$26,735.25","$10,941.04","$42,636.52","$15,958.03",,,"$126,218.51","$31,891.30","$22,341.24","$29,707.09","$9,902.36","$10,630.43","$25,532.84","$42,636.52","$540,712.75"
11,46,Mid Tier,Texas,Corpus Christi,DEFEND,98%,48%,68%,170.21,27%,18%,39%,16%,0%,"$145,581.82","$50,106.17","$15,798.58","$61,355.40",,,"$50,105.91","$20,505.17","$79,907.29","$29,907.76",,,"$236,552.59","$59,769.12","$41,870.87","$55,675.58","$18,558.53","$19,923.04","$47,852.40","$79,907.29","$1,013,377.55"
12,41,Mid Tier,Indiana,Evansville,DEFEND,97%,44%,10%,35.71,27%,18%,39%,16%,0%,"$139,148.25","$47,891.87","$15,100.41","$58,643.98",,,"$47,891.63","$19,599.00","$76,376.02","$28,586.08",,,"$226,098.83","$57,127.80","$40,020.51","$53,215.16","$17,738.39","$19,042.60","$45,737.70","$76,376.02","$968,594.25"
13,63,Mid Tier,Tennessee,Jackson-Tn,DEFEND,95%,51%,25%,19.38,27%,18%,39%,16%,0%,"$84,158.43","$28,965.54","$9,132.90","$35,468.54",,,"$28,965.40","$11,853.70","$46,193.08","$17,289.18",,,"$136,747.13","$34,551.54","$24,204.85","$32,185.13","$10,728.38","$11,517.18","$27,662.68","$46,193.08","$585,816.74"
14,61,Mid Tier,Texas,Laredo,DEFEND,98%,84%,96%,23.39,27%,18%,39%,16%,0%,"$73,878.35","$25,427.36","$8,017.30","$31,136.00",,,"$25,427.23","$10,405.75","$40,550.52","$15,177.28",,,"$120,043.25","$30,331.01","$21,248.19","$28,253.67","$9,417.89","$10,110.34","$24,283.64","$40,550.52","$514,258.32"
15,62,Mid Tier,Montana,Missoula,DEFEND,94%,57%,6%,190.22,27%,18%,39%,16%,0%,"$83,634.94","$28,785.37","$9,076.09","$35,247.91",,,"$28,785.22","$11,779.96","$45,905.74","$17,181.64",,,"$135,896.51","$34,336.62","$24,054.29","$31,984.93","$10,661.64","$11,445.54","$27,490.61","$45,905.74","$582,172.75"
16,45,Mid Tier,California,Palm Springs,DEFEND,100%,71%,63%,35.05,27%,18%,39%,16%,0%,"$108,692.62","$37,409.69","$11,795.36","$45,808.46",,,"$37,409.50","$15,309.33","$59,659.46","$22,329.39",,,"$176,612.16","$44,624.13","$31,261.14","$41,567.86","$13,855.95","$14,874.71","$35,727.01","$59,659.46","$756,596.22"
17,35,Mid Tier,Nevada,Reno,DEFEND,97%,58%,32%,67.93,27%,18%,39%,16%,0%,"$131,344.54","$45,206.00","$14,253.55","$55,355.11",,,"$45,205.77","$18,499.85","$72,092.70","$26,982.91",,,"$213,418.76","$53,923.96","$37,776.08","$50,230.75","$16,743.58","$17,974.65","$43,172.64","$72,092.70","$914,273.55"
18,65,Mid Tier,Minnesota,Rochester - Mason City - Austin,DEFEND,98%,41%,15%,46.23,27%,18%,39%,16%,0%,"$100,619.83","$34,631.20","$10,919.29","$42,406.19",,,"$34,631.03","$14,172.28","$55,228.45","$20,670.95",,,"$163,494.87","$41,309.82","$28,939.32","$38,480.54","$12,826.85","$13,769.94","$33,073.50","$55,228.45","$700,402.51"
19,36,Mid Tier,Texas,Waco - Temple - Bryan,DEFEND,91%,40%,46%,57.7,27%,18%,39%,16%,0%,"$157,193.08","$54,102.51","$17,058.64","$66,248.96",,,"$54,102.24","$22,140.61","$86,280.51","$32,293.14",,,"$255,419.46","$64,536.17","$45,210.39","$60,116.13","$20,038.71","$21,512.06","$51,668.99","$86,280.51","$1,094,202.11"
20,14,Top Tier,Texas,"Austin, Texas",PROTECT,86%,38.868,47%,168.65,49%,15%,26%,11%,0%,"$881,322.25","$118,472.41","$80,644.13","$197,562.22",,,"$118,472.41","$96,597.23","$118,482.11","$52,545.98",,,"$370,668.78","$105,490.76","$73,564.37","$119,167.46","$35,163.59","$39,722.49","$84,073.63","$118,482.11","$2,610,431.93"
21,13,Top Tier,Ohio,Cincinnati,PROTECT,92%,42.386,20%,62.59,49%,15%,26%,11%,0%,"$809,373.21","$108,800.60","$74,060.54","$181,433.71",,,"$108,800.60","$88,711.27","$108,809.51","$48,256.25",,,"$340,408.27","$96,878.75","$67,558.75","$109,438.92","$32,292.92","$36,479.64","$77,210.06","$108,809.51","$2,397,322.50"
22,5,Top Tier,Florida,Orlando - Daytona Beach - Melbourne,PROTECT,88%,52.474,44%,90.08,49%,15%,26%,11%,0%,"$1,274,314.38","$171,300.67","$116,604.31","$285,657.57",,,"$171,300.67","$139,671.10","$171,314.70","$75,976.86",,,"$535,954.43","$152,530.35","$106,367.61","$172,305.66","$50,843.45","$57,435.22","$121,563.07","$171,314.70","$3,774,454.74"
23,10,Top Tier,Texas,San Antonio,PROTECT,89%,41.09,66%,115.04,49%,15%,26%,11%,0%,"$1,036,721.01","$139,362.00","$94,863.67","$232,397.29",,,"$139,362.00","$113,629.70","$139,373.41","$61,811.13",,,"$436,026.79","$124,091.37","$86,535.58","$140,179.61","$41,363.79","$46,726.54","$98,897.88","$139,373.41","$3,070,715.20"
